title	count	total_chars	levels	sites	suggested_band
Twin towns – sister cities	5	307	1,2	Historic Centre of Tallinn; Venice and its Lagoon; Timbuktu...	
International relations	4	66	1	Historic Centre of Vienna; Venice and its Lagoon; Historic Monuments of Ancient Kyoto...	
Conservation	3	9836	1	Petra; Göbekli Tepe; Taos Pueblo	
Middle Ages	2	5591	2	Historic Centre of Vienna; Historic City of Toledo	
Construction	2	4991	1,2	Historic Sanctuary of Machu Picchu; Göbekli Tepe	
Sports	2	4000	2	Historic Monuments of Ancient Kyoto; Kyiv (Saint-Sophia Cathedral)	
Roman period	2	3680	2	Historic Centre of Vienna; Petra	
Layout	2	3552	1,2	Petra; Historic Sanctuary of Machu Picchu	
Railways	2	2720	2,3	Historic Monuments of Ancient Kyoto; Kyiv (Saint-Sophia Cathedral)	
Painting	2	2315	2	Venice and its Lagoon; Venice and its Lagoon	
Railway	2	1850	2	Old Town of Lijiang; Samarkand	
Rail	2	1815	2	Venice and its Lagoon; Historic City of Toledo	
Roads	2	1515	2	Historic Centre of Tallinn; Historic City of Toledo	
Airport	2	1079	2	Historic Centre of Vienna; Old Town of Lijiang	
Buses	2	850	2,3	Historic Centre of Vienna; Historic Monuments of Ancient Kyoto	
Administrative divisions	2	797	1,2	Old Town of Lijiang; Historic Monuments of Ancient Kyoto	
Air	2	493	2	Historic Centre of Tallinn; Historic City of Toledo	
Sister cities	2	289	1,2	Old Town of Lijiang; Historic Monuments of Ancient Kyoto	
Expansion	1	6739	2	Venice and its Lagoon	
Rise and peak (11th and 12th centuries)	1	6281	2	Cahokia Mounds	
Decline (13th and 14th centuries)	1	6013	2	Cahokia Mounds	
Flooding and sea level rise	1	5233	3	Venice and its Lagoon	
Front Hill	1	4666	2	Summer Palace, Beijing	
Diverting cruise ships	1	4584	3	Venice and its Lagoon	
Qing dynasty	1	4455	2	Summer Palace, Beijing	
Modern era	1	4160	2	Historic City of Toledo	
Seat of the Khmer Empire	1	4025	2	Angkor	
Manuscripts and libraries	1	3861	2	Timbuktu	
Parks	1	3815	2	Historic Centre of Vienna	
Tourist activity	1	3526	2	Historic Sanctuary of Machu Picchu	
Christianity	1	3373	2	Samarkand	
Cossack period and Russian suzerainty	1	3354	2	Kyiv (Saint-Sophia Cathedral)	
1911 American Expedition	1	3337	3	Historic Sanctuary of Machu Picchu	
Visitors, desecration and damage	1	3293	1	Ellora Caves	
Interpretation	1	3246	1	Göbekli Tepe	
19th and 20th centuries	1	2981	2	Petra	
Large enclosures	1	2981	2	Göbekli Tepe	
Soviet era	1	2920	2	Kyiv (Saint-Sophia Cathedral)	
Early Islamic era	1	2869	2	Samarkand	
Dawn of village life	1	2790	1	Göbekli Tepe	
Attacks	1	2789	3	Timbuktu	
Daily life in Machu Picchu	1	2762	3	Historic Sanctuary of Machu Picchu	
Centre of learning	1	2758	2	Timbuktu	
Building phases	1	2654	2	Göbekli Tepe	
Roman era and late antiquity	1	2613	2	Historic City of Toledo	
Emergence of Petra	1	2448	2	Petra	
Glass	1	2414	2	Venice and its Lagoon	
Danube	1	2381	3	Historic Centre of Vienna	
The Dashavatara: Cave 15	1	2365	2	Ellora Caves	
Ethnic composition	1	2349	2	Kyiv (Saint-Sophia Cathedral)	
Abandonment and resettling (15th through 19th centuries)	1	2342	2	Cahokia Mounds	
Anschluss and World War II	1	2307	2	Historic Centre of Vienna	
The Kailasha temple: Cave 16	1	2290	2	Ellora Caves	
The Vishvakarma Cave	1	2283	2	Ellora Caves	
City centre	1	2263	2	Petra	
Restoration, preservation, and threats	1	2245	2	Angkor	
Mound 72	1	2225	2	Cahokia Mounds	
Cahokia Woodhenge	1	2218	2	Cahokia Mounds	
Shia Muslims	1	2144	3	Samarkand	
Modern age	1	2140	2	Venice and its Lagoon	
Leo Africanus	1	2135	2	Timbuktu	
16th–18th centuries	1	2111	2	Samarkand	
Food	1	2081	2	Historic Centre of Vienna	
Search for the Neo-Inca capital	1	2054	3	Historic Sanctuary of Machu Picchu	
Agricultural activity	1	2022	3	Historic Sanctuary of Machu Picchu	
The mosques	1	1928	2	Timbuktu	
Biological resources	1	1890	2	Old Town of Lijiang	
Places of worship	1	1857	2	Historic Centre of Vienna	
Timur's rule (1370–1405)	1	1837	2	Samarkand	
Pillars	1	1829	2	Göbekli Tepe	
Chhota Kailasha: Cave 30	1	1825	2	Ellora Caves	
Shiva and the lingam	1	1807	2	Angkor	
Interpretive centre and museum	1	1790	1	Head-Smashed-In Buffalo Jump	
In the historic centre	1	1764	2	Venice and its Lagoon	
Shabeni	1	1758	2	Timbuktu	
Hephthalites and Turkic Khaganate era	1	1738	2	Samarkand	
Terms and phrases	1	1717	1	Angkor	
Back Hill	1	1713	2	Summer Palace, Beijing	
Jayavarman VII	1	1690	2	Angkor	
1900 to 1930	1	1689	2	Historic Centre of Tallinn	
Hydrological	1	1666	1	Old Town of Lijiang	
Construction of Angkor Wat	1	1656	2	Angkor	
1930 to 1950	1	1649	2	Historic Centre of Tallinn	
International organizations in Vienna	1	1620	2	Historic Centre of Vienna	
Pre-Qing dynasty	1	1581	2	Summer Palace, Beijing	
Islam	1	1572	2	Samarkand	
Rameshwar temple, Cave 21	1	1550	2	Ellora Caves	
Four-power Vienna	1	1538	2	Historic Centre of Vienna	
General facilities	1	1533	2	Uluru-Kata Tjuta National Park	
Temple of the Sun or Torreón	1	1504	3	Historic Sanctuary of Machu Picchu	
Subways	1	1500	3	Historic Monuments of Ancient Kyoto	
The Indra Sabha: Cave 32	1	1498	2	Ellora Caves	
Austrian Empire and early 20th century	1	1490	2	Historic Centre of Vienna	
1970 to date	1	1486	2	Historic Centre of Tallinn	
Soviet period	1	1477	2	Samarkand	
Fire management	1	1475	2	Uluru-Kata Tjuta National Park	
Designations	1	1470	2	Cahokia Mounds	
US control and 1847 revolt	1	1428	2	Taos Pueblo	
Formal subdivision	1	1423	3	Kyiv (Saint-Sophia Cathedral)	
Rococo style	1	1379	2	Venice and its Lagoon	
Housing	1	1372	2	Historic Centre of Vienna	
Decline	1	1361	2	Venice and its Lagoon	
Pre-1900	1	1355	2	Historic Centre of Tallinn	
Dispute over cultural artifacts	1	1353	3	Historic Sanctuary of Machu Picchu	
Vaishnavism	1	1327	2	Angkor	
Other sports	1	1322	2	Historic Centre of Vienna	
Silk Road Samarkand (Eternal city)	1	1319	2	Samarkand	
Cave 34	1	1310	2	Ellora Caves	
Ball dances	1	1288	2	Historic Centre of Vienna	
Lithuanian and Polish period	1	1286	2	Kyiv (Saint-Sophia Cathedral)	
Roads and waterways	1	1269	2	Historic Monuments of Ancient Kyoto	
Doges & public servants	1	1249	2	Venice and its Lagoon	
Sestieri	1	1216	2	Venice and its Lagoon	
Hellenistic period	1	1216	2	Samarkand	
Zhou Daguan	1	1214	2	Angkor	
Monks Mound	1	1204	2	Cahokia Mounds	
Descendant communities	1	1171	2	Cahokia Mounds	
Spanish conquest	1	1166	3	Historic Sanctuary of Machu Picchu	
1950 to 1970	1	1156	2	Historic Centre of Tallinn	
Cultural events	1	1156	2	Timbuktu	
Temple of the Three Windows	1	1153	3	Historic Sanctuary of Machu Picchu	
Universities	1	1152	2	Historic Centre of Vienna	
Karakhanid (Ilek-Khanid) period (11th–12th centuries)	1	1138	2	Samarkand	
Railroad	1	1131	2	Historic Centre of Tallinn	
Libraries	1	1119	2	Historic Centre of Vienna	
Other structures	1	1101	2	Göbekli Tepe	
Inti Mach'ay and the Royal Feast of the Sun	1	1075	3	Historic Sanctuary of Machu Picchu	
Post-Qing dynasty	1	1074	2	Summer Palace, Beijing	
Related mounds	1	1071	1	Cahokia Mounds	
July Revolt and Civil War	1	1068	2	Historic Centre of Vienna	
Mongol period	1	1068	2	Samarkand	
Byzantine period	1	1067	2	Petra	
Drinks	1	1066	2	Historic Centre of Vienna	
Copper workshop	1	1052	2	Cahokia Mounds	
Mainland	1	1048	3	Venice and its Lagoon	
Natural disaster	1	1041	3	Angkor	
Intihuatana stone	1	1041	3	Historic Sanctuary of Machu Picchu	
Early Hindu temples: Dhumar Lena, Cave 29	1	1033	2	Ellora Caves	
Cemeteries	1	1027	2	Historic Centre of Vienna	
Landslides and reconstruction	1	1024	2	Göbekli Tepe	
Unemployment	1	1022	2	Historic City of Toledo	
Energy	1	1021	2	Kyiv (Saint-Sophia Cathedral)	
Aviation	1	1018	2	Venice and its Lagoon	
Tallinn Black Nights Film Festival	1	1002	2	Historic Centre of Tallinn	
Science	1	998	2	Historic Centre of Vienna	
Architects and conductors	1	991	2	Historic Centre of Tallinn	
Western Dam	1	983	2	Summer Palace, Beijing	
Preservation	1	975	2	Historic Sanctuary of Machu Picchu	
Austrian State Treaty and subsequent sovereignty	1	969	2	Historic Centre of Vienna	
Woods	1	959	2	Historic Centre of Vienna	
Writing	1	946	2	Venice and its Lagoon	
Ulugh Beg's period (1409–1449)	1	942	2	Samarkand	
Exterior platform	1	936	2	Petra	
Tools	1	933	1	Göbekli Tepe	
Books and articles	1	931	2	Historic Centre of Tallinn	
Eastern Dam	1	922	2	Summer Palace, Beijing	
Crusaders and Mamluks	1	922	2	Petra	
Later archaeological research and scientific studies	1	921	3	Historic Sanctuary of Machu Picchu	
Football	1	920	2	Historic Centre of Vienna	
Rituals and offerings	1	918	3	Historic Sanctuary of Machu Picchu	
Blue Lake	1	915	2	Taos Pueblo	
Post-contact	1	903	2	Taos Pueblo	
Feudal period	1	902	2	Historic Monuments of Ancient Kyoto	
Cinema	1	901	2	Historic Centre of Vienna	
Golden Horde period	1	889	2	Kyiv (Saint-Sophia Cathedral)	
Traditional connection to Moses, Aaron and Miriam	1	886	2	Petra	
Media	1	885	1	Historic City of Toledo	
Russian Empire period	1	885	2	Samarkand	
Art centre gallery	1	878	2	Uluru-Kata Tjuta National Park	
Holidays	1	869	2	Historic City of Toledo	
War with the Ayutthaya Kingdom	1	866	3	Angkor	
Jews	1	866	2	Kyiv (Saint-Sophia Cathedral)	
Fashion and shopping	1	852	2	Venice and its Lagoon	
Pre-Columbian	1	847	2	Taos Pueblo	
Ellora inscriptions	1	842	1	Ellora Caves	
Red Vienna	1	841	2	Historic Centre of Vienna	
Cooperation agreements	1	828	2	Venice and its Lagoon	
Lauluväljak	1	815	2	Historic Centre of Tallinn	
Jade Dragon Snow Mountain	1	801	2	Old Town of Lijiang	
Trains	1	797	3	Historic Centre of Vienna	
Late Roman and Byzantine-period Christianity	1	791	2	Petra	
Iron Age Edom	1	774	2	Petra	
Gender	1	769	2	Taos Pueblo	
Religious pluralism	1	756	2	Angkor	
List of mayors	1	755	2	Historic Monuments of Ancient Kyoto	
Waterways	1	753	3	Venice and its Lagoon	
Attacks by radical Islamic groups	1	744	3	Timbuktu	
Kyivan Rus'	1	743	2	Kyiv (Saint-Sophia Cathedral)	
Lagoon area	1	736	3	Venice and its Lagoon	
Viennese cafés	1	731	2	Historic Centre of Vienna	
Scientific research	1	731	2	Kyiv (Saint-Sophia Cathedral)	
Wien	1	728	3	Historic Centre of Vienna	
Land resources	1	728	2	Old Town of Lijiang	
Religious practices	1	728	2	Taos Pueblo	
Other objects	1	717	2	Göbekli Tepe	
LGBT	1	708	2	Historic Centre of Vienna	
Kadriorg	1	699	2	Historic Centre of Tallinn	
Mahayana Buddhism	1	667	2	Angkor	
The modern town of Machu Picchu	1	667	2	Historic Sanctuary of Machu Picchu	
Social institutions	1	657	2	Historic Centre of Vienna	
Adoption of western architectural style	1	650	3	Historic Monuments of Ancient Kyoto	
Toledo steel	1	650	2	Historic City of Toledo	
Laojun Mountain	1	639	2	Old Town of Lijiang	
Public libraries	1	632	2	Kyiv (Saint-Sophia Cathedral)	
Nearby	1	619	1	Old Town of Lijiang	
High-speed rail	1	618	3	Historic Monuments of Ancient Kyoto	
Hiking and climbing	1	605	2	Uluru-Kata Tjuta National Park	
General and cited references	1	604	1	Samarkand	
Schools	1	600	2	Historic Centre of Vienna	
Heuriger	1	600	2	Historic Centre of Vienna	
Cave 31	1	598	2	Ellora Caves	
Conferences	1	595	2	Historic Centre of Vienna	
Traditional subdivision	1	592	3	Kyiv (Saint-Sophia Cathedral)	
Royal Tombs	1	591	2	Petra	
High Place of Sacrifice	1	586	2	Petra	
Science and technology	1	586	2	Kyiv (Saint-Sophia Cathedral)	
Administrative districts	1	585	1	Historic Centre of Tallinn	
Cycling	1	584	2	Historic Centre of Vienna	
Archaeological sites	1	583	1	Angkor	
Ports	1	582	2	Venice and its Lagoon	
The Jagannatha Sabha: Cave 33	1	572	2	Ellora Caves	
Roads and bridges	1	569	3	Kyiv (Saint-Sophia Cathedral)	
Water-table dropping	1	560	3	Angkor	
Notable Taos Pueblo people	1	547	1	Taos Pueblo	
Printing	1	543	2	Venice and its Lagoon	
Hindu restoration	1	540	2	Angkor	
Burials	1	539	2	Göbekli Tepe	
Early Muslim and Crusader periods	1	536	2	Petra	
Accommodations	1	535	2	Uluru-Kata Tjuta National Park	
Looting	1	535	3	Angkor	
Architects	1	521	2	Venice and its Lagoon	
Academia	1	508	2	Cahokia Mounds	
Information technologies	1	492	2	Historic Centre of Vienna	
Rock carved image of Parshvanatha	1	488	2	Ellora Caves	
Gastronomy	1	484	2	Historic City of Toledo	
Neglect of public works	1	480	3	Angkor	
Old Town of Lijiang	1	476	2	Old Town of Lijiang	
Nanhu Island	1	474	2	Summer Palace, Beijing	
Trams	1	473	3	Historic Centre of Vienna	
Taos Mountain	1	471	2	Taos Pueblo	
Notable features	1	467	1	Cahokia Mounds	
Main structure	1	465	2	Taos Pueblo	
Toompea – Upper Town	1	455	2	Historic Centre of Tallinn	
End of the Angkorian period	1	452	2	Angkor	
U-Bahn	1	450	3	Historic Centre of Vienna	
Geostrategic importance	1	450	1	Petra	
All-linn – Lower Town	1	443	2	Historic Centre of Tallinn	
Building foundations	1	429	3	Venice and its Lagoon	
Homes	1	421	2	Taos Pueblo	
Cahokia Museum and Interpretive Center	1	391	2	Cahokia Mounds	
Early modern period	1	387	2	Historic Monuments of Ancient Kyoto	
Siege of Timbuktu	1	376	2	Timbuktu	
Charitable organizations in Vienna	1	373	2	Historic Centre of Vienna	
Conventional lines	1	371	3	Historic Monuments of Ancient Kyoto	
Other	1	370	2	Kyiv (Saint-Sophia Cathedral)	
Manufacture	1	360	2	Kyiv (Saint-Sophia Cathedral)	
"""Rite of passage"" of the Israeli youth"	1	351	2	Petra	
Water and sanitation	1	349	2	Kyiv (Saint-Sophia Cathedral)	
Theravada Buddhism	1	329	2	Angkor	
Explorers	1	324	2	Venice and its Lagoon	
Official websites	1	323	2	Historic Centre of Vienna	
Domestic structures	1	317	2	Göbekli Tepe	
Second half of the 18th–19th centuries	1	317	2	Samarkand	
Ferry	1	316	2	Historic Centre of Tallinn	
Travel guides	1	307	2	Historic Centre of Tallinn	
Lido and Pellestrina islands	1	290	3	Venice and its Lagoon	
Further information on Vienna	1	275	2	Historic Centre of Vienna	
Photography	1	272	2	Venice and its Lagoon	
Lugu Lake	1	271	2	Old Town of Lijiang	
Greater Cahokia	1	270	1	Cahokia Mounds	
Road	1	268	2	Old Town of Lijiang	
Modern period	1	268	2	Historic Monuments of Ancient Kyoto	
Districts	1	263	2	Historic Centre of Vienna	
Partner cities	1	262	2	Historic Monuments of Ancient Kyoto	
Pirita	1	241	2	Historic Centre of Tallinn	
Kyoto City Assembly	1	241	2	Historic Monuments of Ancient Kyoto	
Notable headquarters	1	226	2	Historic Centre of Tallinn	
Entertainers	1	221	2	Venice and its Lagoon	
Subsidence	1	212	2	Venice and its Lagoon	
Sasanian era	1	207	2	Samarkand	
City anthem	1	203	2	Kyiv (Saint-Sophia Cathedral)	
Other Hindu caves	1	193	2	Ellora Caves	
Early accounts in the West	1	186	1	Timbuktu	
International city co-operations	1	173	2	Historic Centre of Vienna	
Painted carvings and paintings	1	168	1	Ellora Caves	
District to district partnerships	1	161	2	Historic Centre of Vienna	
Tramways	1	150	3	Historic Monuments of Ancient Kyoto	
Suburbs	1	148	2	Samarkand	
Orchestras	1	147	3	Venice and its Lagoon	
COVID-19	1	134	3	Angkor	
Coat of arms	1	132	1	Historic City of Toledo	
Neolithic	1	128	2	Petra	
City symbols	1	128	2	Kyiv (Saint-Sophia Cathedral)	
Military conflicts	1	121	2	Kyiv (Saint-Sophia Cathedral)	
Bronze Age	1	91	2	Petra	
Honour	1	75	1	Kyiv (Saint-Sophia Cathedral)	
Tram	1	60	2	Old Town of Lijiang	
21st century	1	50	2	Petra	
Biology	1	0	1	Uluru-Kata Tjuta National Park	
Activities	1	0	1	Uluru-Kata Tjuta National Park	
Districts and enlargement	1	0	1	Historic Centre of Vienna	
Rivers	1	0	2	Historic Centre of Vienna	
Culinary specialities	1	0	1	Historic Centre of Vienna	
Viennese people	1	0	1	Historic Centre of Vienna	
Natural resources	1	0	1	Old Town of Lijiang	
Academic	1	0	3	Venice and its Lagoon	
Popular	1	0	3	Venice and its Lagoon	
Religious importance	1	0	1	Petra	
Ancient life	1	0	2	Historic Sanctuary of Machu Picchu	
Encounters with Westerners	1	0	2	Historic Sanctuary of Machu Picchu	
Current state	1	0	1	Historic Sanctuary of Machu Picchu	
Sites of interest	1	0	2	Historic Sanctuary of Machu Picchu	
Iconography	1	0	1	Göbekli Tepe	
Subdivisions	1	0	2	Kyiv (Saint-Sophia Cathedral)	
Other cooperation agreements	1	0	2	Kyiv (Saint-Sophia Cathedral)	
Spiritual community	1	0	1	Taos Pueblo	
Contemporary usage (post 19th-century)	1	0	1	Cahokia Mounds	
